CMTE_ID,CMTE_NM,CAND_ID,CAND_NAME,CAND_OFFICE,CAND_STATE,CAND_OFFICE_DISTRICT,CAND_PTY_AFFILIATION,TRANSACTION_DT,TRANSACTION_AMT,TRANSACTION_TP,COMMUNICATION_TP,COMMUNICATION_CLASS,SUPPORT_OPPOSE_IND,IMAGE_NUM,LINE_NUM,FORM_TP_CD,SCHED_TP_CD,TRAN_ID,SUB_ID,FILE_NUM,RPT_YR,CAND_STATE_DESCRIPTION,CAND_PTY_AFFILIATION_DESCRIPTION,PURPOSE
"C70000104","AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160202","556.3","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604180300066172","","F7","F76","F76051016617213","2051020161292467248","1067030","2016","UNITED STATES","Democratic Party",""
"C70000104","AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160211","3615.23","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604180300066172","","F7","F76","F76051016617214","2051020161292467249","1067030","2016","UNITED STATES","Democratic Party",""
"C70000104","AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160219","5064.13","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604180300066172","","F7","F76","F76051016617215","2051020161292467250","1067030","2016","UNITED STATES","Democratic Party",""
"C70000104","AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160311","4246.02","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604180300066172","","F7","F76","F76051016617216","2051020161292467251","1067030","2016","UNITED STATES","Democratic Party",""
"C70000104","AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160311","6998.26","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604180300066172","","F7","F76","F76051016617217","2051020161292467252","1067030","2016","UNITED STATES","Democratic Party",""
"C70000104","AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160311","4578.47","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201604180300066172","","F7","F76","F76051016617218","2051020161292467253","1067030","2016","UNITED STATES","Democratic Party",""
"C70006010","AMERICAN FEDERATION OF LABOR SAN METRO OUNTY CENTRAL LABOR COUNCIL","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20161007","5685.32","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201610260300113937","","F7","F76","F7610281639371","2120820161356975247","1120425","2016","UNITED STATES","Democratic Party",""
"C70006010","AMERICAN FEDERATION OF LABOR SAN METRO OUNTY CENTRAL LABOR COUNCIL","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160927","268.87","24F","TP","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201610260300113937","","F7","F76","F7610281639372","2120820161356975248","1120425","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20161015","1623.67","24F","O","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201610260300114122","","F7","F76","F76110316412214","2120720161356923929","1123192","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20161018","3387.5","24F","O","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201610260300114123","","F7","F76","F76110316412315","2120720161356923930","1123192","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20161015","1446.8","24F","TP","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201610260300114123","","F7","F76","F76110316412316","2120720161356923931","1123192","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","S6CA00584","HARRIS, KAMALA D","S","CA","00","DEM","20161015","1446.8","24F","TP","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201610260300114124","","F7","F76","F76110316412417","2120720161356923932","1123192","2016","CALIFORNIA","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160406","45340","24F","TP","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201607130300083201","","F7","F76","F7608181632011","2081820161313049706","1094958","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160406","41630.49","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201607130300083201","","F7","F76","F7608181632012","2081820161313049707","1094958","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160411","210.7","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201607130300083202","","F7","F76","F7608181632023","2081820161313049708","1094958","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160413","4087.39","24F","O","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201607130300083202","","F7","F76","F7608181632024","2081820161313049709","1094958","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160415","14391.46","24F","O","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201607130300083203","","F7","F76","F7608181632035","2081820161313049710","1094958","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160420","73160.88","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201607130300083203","","F7","F76","F7608181632036","2081820161313049711","1094958","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160421","618.09","24F","TP","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201607130300083204","","F7","F76","F7608181632047","2081820161313049712","1094958","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160429","1000","24F","O","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201607130300083204","","F7","F76","F7608181632048","2081820161313049713","1094958","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160504","11283.86","24F","O","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201607130300083205","","F7","F76","F7608181632059","2081820161313049714","1094958","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160504","39461.56","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201607130300083205","","F7","F76","F76081816320510","2081820161313049715","1094958","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160512","33889.55","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201607130300083206","","F7","F76","F76081816320611","2081820161313049716","1094958","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160420","7560","24F","TP","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201607130300083206","","F7","F76","F76081816320612","2081820161313049717","1094958","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160516","15832.51","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201607130300083207","","F7","F76","F76081816320713","2081820161313049718","1094958","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160520","41973.85","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201607130300083207","","F7","F76","F76081816320714","2081820161313049719","1094958","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160523","6552.52","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201607130300083208","","F7","F76","F76081816320815","2081820161313049720","1094958","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","H2PA02055","FATTAH, CHAKA MR.","H","PA","02","DEM","20160523","7327.34","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201607130300083208","","F7","F76","F76081816320816","2081820161313049721","1094958","2016","PENNSYLVANIA","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160527","26724.42","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201607130300083209","","F7","F76","F76081816320917","2081820161313049722","1094958","2016","UNITED STATES","Democratic Party",""
"C70000120","AMERICAN FEDERATION OF STATE, COUNTY AND MUNICIPAL EMPLOYEES, AFL-CIO","P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","DEM","20160601","16341.81","24F","DM","M","S","http://docquery.fec.gov/cgi-bin/fecimg/?201607130300083209","","F7","F76","F76081816320918","2081820161313049723","1094958","2016","UNITED STATES","Democratic Party",""
