CMTE_ID,CMTE_NM,CAND_ID,CAND_NAME,CAND_OFFICE,CAND_STATE,CAND_OFFICE_DISTRICT,CAND_PTY_AFFILIATION,TRANSACTION_DT,TRANSACTION_AMT,TRANSACTION_TP,COMMUNICATION_TP,COMMUNICATION_CLASS,SUPPORT_OPPOSE_IND,IMAGE_NUM,LINE_NUM,FORM_TP_CD,SCHED_TP_CD,TRAN_ID,SUB_ID,FILE_NUM,RPT_YR,CAND_STATE_DESCRIPTION,CAND_PTY_AFFILIATION_DESCRIPTION,PURPOSE
"C70000112","AFL-CIO ","S2OH00170","MANDEL, JOSH","S","OH","00","REP","20121028","32724.87","24N","DM","M","O","http://docquery.fec.gov/cgi-bin/fecimg/?13031024770","","F7","F76","F760226210114291","2030920131185168760","858664","2012","OHIO","Republican Party",""
"C70000112","AFL-CIO ","S2OH00170","MANDEL, JOSH","S","OH","00","REP","20121028","39069.46","24N","DM","M","O","http://docquery.fec.gov/cgi-bin/fecimg/?13031024770","","F7","F76","F760226210114292","2030920131185168761","858664","2012","OHIO","Republican Party",""
"C70000112","AFL-CIO ","S8VA00214","ALLEN, GEORGE","S","VA","00","REP","20121105","429.37","24N","O","M","O","http://docquery.fec.gov/cgi-bin/fecimg/?13031024775","","F7","F76","F760226210114446","2030920131185168915","858664","2012","VIRGINIA","Republican Party",""
"C70000112","AFL-CIO ","H0MI01088","BENISHEK, DANIEL J. M.D.","H","MI","01","REP","20121105","217.21","24N","O","M","O","http://docquery.fec.gov/cgi-bin/fecimg/?13031024775","","F7","F76","F760226210114449","2030920131185168918","858664","2012","MICHIGAN","Republican Party",""
"C70000112","AFL-CIO ","H4PA08074","FITZPATRICK, MICHAEL G.","H","PA","08","REP","20121105","292.65","24N","O","M","O","http://docquery.fec.gov/cgi-bin/fecimg/?13031024775","","F7","F76","F760226210114458","2030920131185168927","858664","2012","PENNSYLVANIA","Republican Party",""
"C70000112","AFL-CIO ","S2AZ00141","FLAKE, JEFF","S","AZ","00","REP","20121105","58.33","24N","O","M","O","http://docquery.fec.gov/cgi-bin/fecimg/?13031024775","","F7","F76","F760226210114459","2030920131185168928","858664","2012","ARIZONA","Republican Party",""
"C70000112","AFL-CIO ","H2PA06114","GERLACH, JIM","H","PA","06","REP","20121105","24.3","24N","O","M","O","http://docquery.fec.gov/cgi-bin/fecimg/?13031024775","","F7","F76","F760226210114460","2030920131185168929","858664","2012","PENNSYLVANIA","Republican Party",""
"C70000112","AFL-CIO ","H0WA02098","KOSTER, JOHN ","H","WA","01","REP","20121105","15.99","24N","O","M","O","http://docquery.fec.gov/cgi-bin/fecimg/?13031024775","","F7","F76","F760226210114466","2030920131185168935","858664","2012","WASHINGTON","Republican Party",""
"C70000112","AFL-CIO ","S2FL00334","MACK, CONNIE","S","FL","00","REP","20121105","61.2","24N","O","M","O","http://docquery.fec.gov/cgi-bin/fecimg/?13031024775","","F7","F76","F760226210114467","2030920131185168936","858664","2012","FLORIDA","Republican Party",""
"C70000112","AFL-CIO ","H2AZ08102","MCSALLY, MARTHA E","H","AZ","02","REP","20121105","70","24N","O","M","O","http://docquery.fec.gov/cgi-bin/fecimg/?13031024775","","F7","F76","F760226210114470","2030920131185168939","858664","2012","ARIZONA","Republican Party",""
