CANDIDATE_ID,CANDIDATE_NAME,CANDIDATE_OFFICE,CANDIDATE_STATE,CANDIDATE_DISTRICT,COMMITTEE_ID,COMMITTEE_NAME,SB_IMAGE_NUM,PAYEE_NAME,PAYEE_STREET,PAYEE_CITY,PAYEE_STATE,DISBURSEMENT_DESCRIPTION,DISBURSEMENT_DATE,COMMUNICATION_DATE,PUBLIC_DISBURSEMENT_DATE,REPORTED_DISBURSEMENT_AMOUNT,NUMBER_OF_CANDIDATES,CALCULATED_CANDIDATE_SHARE
"","","","","","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","201610319037011366","MENTZER MEDIA SERVICES INC.","201 W PENNSYLVANIA AVE STE 250","TOWSON","MD","TELEVISION ADVERTISING - MEDIA PLACEMENT EASY CHOICE","28-OCT-16","29-OCT-16","29-OCT-16","431180","1","431180"
"","","","","","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","201610319037011366","RED OCTOBER PRODUCTIONS INC.","1851A MCGUCKIAN STREET","ANNAPOLIS","MD","ADVERTISING - PRODUCTION EASY CHOICE","28-OCT-16","29-OCT-16","29-OCT-16","13455.73","1","13455.73"
"","","","","","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","201610319037011369","MENTZER MEDIA SERVICES INC.","201 W PENNSYLVANIA AVE STE 250","TOWSON","MD","TELEVISION ADVERTISING - MEDIA PLACEMENT NO WAY","28-OCT-16","29-OCT-16","29-OCT-16","482290","1","482290"
"","","","","","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","201610319037011369","RED OCTOBER PRODUCTIONS INC.","1851A MCGUCKIAN STREET","ANNAPOLIS","MD","ADVERTISING - PRODUCTION NO WAY","28-OCT-16","29-OCT-16","29-OCT-16","13593.73","1","13593.73"
"","","","","","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","201611189037213388","MENTZER MEDIA SERVICES INC.","201 W PENNSYLVANIA AVE STE 250","TOWSON","MD","TELEVISION ADVERTISING - MEDIA PLACEMENT WV'S FUTURE","20-OCT-16","21-OCT-16","21-OCT-16","200400","1","200400"
"","","","","","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","201611189037213406","MENTZER MEDIA SERVICES INC.","201 W PENNSYLVANIA AVE STE 250","TOWSON","MD","TELEVISION ADVERTISING - MEDIA PLACEMENT NOT ANOTHER LIBERAL","20-OCT-16","21-OCT-16","21-OCT-16","36000","1","36000"
"","","","","","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","201611039037110727","MENTZER MEDIA SERVICES INC.","201 W PENNSYLVANIA AVE STE 250","TOWSON","MD","TELEVISION ADVERTISING - MEDIA PLACEMENT EASY CHOICE","02-NOV-16","03-NOV-16","03-NOV-16","22000","1","22000"
"","","","","","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","201611039037111578","MENTZER MEDIA SERVICES INC.","201 W PENNSYLVANIA AVE STE 250","TOWSON","MD","TELEVISION ADVERTISING - MEDIA PLACEMENT NO WAY","02-NOV-16","03-NOV-16","03-NOV-16","22000","1","22000"
"","","","","","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","201611079037128350","MENTZER MEDIA SERVICES INC.","201 W PENNSYLVANIA AVE STE 250","TOWSON","MD","TELEVISION ADVERTISING - MEDIA PLACEMENT NO WAY","03-NOV-16","05-NOV-16","05-NOV-16","18750","1","18750"
"","","","","","C30002604","MOUNTAINEERS ARE ALWAYS FREE PAC","201611079037128353","MENTZER MEDIA SERVICES INC.","201 W PENNSYLVANIA AVE STE 250","TOWSON","MD","TELEVISION ADVERTISING - MEDIA PLACEMENT EASY CHOICE","03-NOV-16","05-NOV-16","05-NOV-16","18750","1","18750"
"P80001571","TRUMP, DONALD J. / MICHAEL R. PENCE ","P","US","00","C30002562","NATION, JOSEPH","201608189022513641","CAIRO, MELISSA","511 W. SANTA INEZ","HILLSBOROUGH","CA","RESEARCH (BOMBASTIC LIAR)","14-JUL-16","17-AUG-16","17-AUG-16","667","1","667"
"P80001571","TRUMP, DONALD J. / MICHAEL R. PENCE ","P","US","00","C30002562","NATION, JOSEPH","201608189022513641","PRAKASH, GYAN","ICICI BANK SECTOR-54 SHOP NO 19","GURGAON HARYANA INDIA","ZZ","PROGRAMMING/WEB DESIGN (BOMBASTIC LIAR)","16-AUG-16","17-AUG-16","17-AUG-16","560","1","560"
"P80001571","TRUMP, DONALD J. / MICHAEL R. PENCE ","P","US","00","C30002612","NEW DIRECTION PAC","201612289040903931","GUMBINNER & DAVIES","2001 S ST NW STE 301","WASHINGTON","DC","DIRECT MAIL PRODUCTION/POSTAGE","17-OCT-16","19-OCT-16","19-OCT-16","7758.34","1","7758.34"
"P80001571","TRUMP, DONALD J. / MICHAEL R. PENCE ","P","US","00","C30002612","NEW DIRECTION PAC","201612289040903931","SWAY","4350 EAST WEST HWY SUITE 350","BETHESDA","MD","VIDEO PRODUCTION","19-OCT-16","19-OCT-16","19-OCT-16","6105.55","1","6105.55"
"P80001571","TRUMP, DONALD J. / MICHAEL R. PENCE ","P","US","00","C30002612","NEW DIRECTION PAC","201612289040903932","BUYING TIME","650 MASSACHUSETTS AVE NW SUITE 2","WASHINGTON","DC","CABLE ADVERTISING - CLOTH (10/20-11/7)","13-OCT-16","19-OCT-16","19-OCT-16","147103","1","147103"
"P80001571","TRUMP, DONALD J. / MICHAEL R. PENCE ","P","US","00","C30002612","NEW DIRECTION PAC","201612289040903885","BUYING TIME LLC","650 MASSACHUSETTS AVE NW","WASHINGTON","DC","MEDIA ADVERTISING (CABLE): CLOTH - 10/7 - 11/7","05-OCT-16","07-OCT-16","07-OCT-16","43748.5","1","43748.5"
"P80001571","TRUMP, DONALD J. / MICHAEL R. PENCE ","P","US","00","C30002570","NEW YORK HOTEL AND MOTEL TRADES COUNCIL AFL-CIO","201609129030769223","METROPOLITAN PUBLIC STRATEGIES INC.","1677 LEXINGTON AVE","NEW YORK","NY","TELEVISION AD - BALL GAME","15-AUG-16","09-SEP-16","09-SEP-16","34575","1","34575"
"P80001571","TRUMP, DONALD J. / MICHAEL R. PENCE ","P","US","00","C30002620","PATRIOT MAJORITY USA","201610169032881357","BUYING TIME LLC","650 MASSACHUSETTS AVENUE NW","WASHINGTON","DC","MEDIA BUY - UNDER ATTACK","12-OCT-16","15-OCT-16","15-OCT-16","29996","1","29996"
"P80001571","TRUMP, DONALD J. / MICHAEL R. PENCE ","P","US","00","C30002620","PATRIOT MAJORITY USA","201610169032881357","GEORGETOWN POST","3299 K STREET NW SUITE 101","WASHINGTON","DC","MEDIA PRODUCTION - UNDER ATTACK","12-OCT-16","15-OCT-16","15-OCT-16","2284.19","1","2284.19"
"P80001571","TRUMP, DONALD J. / MICHAEL R. PENCE ","P","US","00","C30001978","PATRIOTIC VETERANS, INC","201603099009685767","ADVERTISING ASSOCIATES","PO BOX 656","SCURY","TX","TRUMP DRAFT DEFERMENTS","09-MAR-16","10-MAR-16","10-MAR-16","25000","1","25000"
"P80001571","TRUMP, DONALD J. / MICHAEL R. PENCE ","P","US","00","C30001978","PATRIOTIC VETERANS, INC","201605259017296018","ADVERTISING ASSOCIATES","10491 FM 2451","SCURRY","TX","PATRIOTIC VETERANS AGAINST TRUMP RADIO SPOT","09-MAR-16","09-MAR-16","09-MAR-16","25000","1","25000"
"P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","C30002067","REPUBLICAN STATE LEADERSHIP COMMITTEE","201610039032153465","SRH MEDIA INC.","PO BOX 367","SPENCERVILLE","MD","TV PLACEMENT - CHANGED","30-SEP-16","03-OCT-16","03-OCT-16","50000","1","50000"
"P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","C30002067","REPUBLICAN STATE LEADERSHIP COMMITTEE","201610039032153465","CONSENSUS COMMUNICATIONS","PO BOX 2898","WINTER PARK","FL","TV PRODUCTION - CHANGED","30-SEP-16","03-OCT-16","03-OCT-16","5000","1","5000"
"P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","C30002067","REPUBLICAN STATE LEADERSHIP COMMITTEE","201610109032222166","SRH MEDIA INC.","PO BOX 367","SPENCERVILLE","MD","TV PLACEMENT - CHANGED","07-OCT-16","10-OCT-16","10-OCT-16","30000","1","30000"
