CANDIDATE_ID,CANDIDATE_NAME,CANDIDATE_OFFICE,CANDIDATE_STATE,CANDIDATE_DISTRICT,COMMITTEE_ID,COMMITTEE_NAME,SB_IMAGE_NUM,PAYEE_NAME,PAYEE_STREET,PAYEE_CITY,PAYEE_STATE,DISBURSEMENT_DESCRIPTION,DISBURSEMENT_DATE,COMMUNICATION_DATE,PUBLIC_DISBURSEMENT_DATE,REPORTED_DISBURSEMENT_AMOUNT,NUMBER_OF_CANDIDATES,CALCULATED_CANDIDATE_SHARE
"P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","C30002067","REPUBLICAN STATE LEADERSHIP COMMITTEE","201611019037017427","SRH MEDIA INC.","PO BOX 367","SPENCERVIILLE","MD","RADIO PLACEMENT - WRONG SIDE","24-OCT-16","01-NOV-16","01-NOV-16","7500","1","7500"
"P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","C30002067","REPUBLICAN STATE LEADERSHIP COMMITTEE","201611029037083607","SRH MEDIA INC.","PO BOX 367","SPENCERVILLE","MD","TV PLACEMENT - ONE OF THEM","02-NOV-16","02-NOV-16","02-NOV-16","50000","1","50000"
"P80001571","TRUMP, DONALD J. / MICHAEL R. PENCE ","P","US","00","C30002083","REPUBLICAN STATE LEADERSHIP COMMITTEE - WASHINGTON PAC","201610139032425393","DEL CIELO MEDIA LLC","1427 LESLIE AVENUE","ALEXANDRIA","VA","RADIO PLACEMENT - AGREE","11-OCT-16","12-OCT-16","12-OCT-16","54650","2","27325"
"P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","C30002083","REPUBLICAN STATE LEADERSHIP COMMITTEE - WASHINGTON PAC","201610139032425393","DEL CIELO MEDIA LLC","1427 LESLIE AVENUE","ALEXANDRIA","VA","RADIO PLACEMENT - AGREE","11-OCT-16","12-OCT-16","12-OCT-16","54650","2","27325"
"P80001571","TRUMP, DONALD J. / MICHAEL R. PENCE ","P","US","00","C30002083","REPUBLICAN STATE LEADERSHIP COMMITTEE - WASHINGTON PAC","201610139032425393","STRATEGIC PERCEPTION INC.","6158 MULHOLLAND HIGHWAY","HOLLYWOOD","CA","RADIO PRODUCTION - AGREE","12-OCT-16","12-OCT-16","12-OCT-16","2878.54","2","1439.27"
"P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","C30002083","REPUBLICAN STATE LEADERSHIP COMMITTEE - WASHINGTON PAC","201610139032425393","STRATEGIC PERCEPTION INC.","6158 MULHOLLAND HIGHWAY","HOLLYWOOD","CA","RADIO PRODUCTION - AGREE","12-OCT-16","12-OCT-16","12-OCT-16","2878.54","2","1439.27"
"H4ME02234","POLIQUIN, BRUCE L","H","ME","02","C30002687","RETAIL ASSOCIATION OF MAINE INC.","201610319037012697","STRATEGIC MEDIA SERVICES","1911 N. FORT MYER DRIVE","ARLINGTON","VA","CHOICE TELEVISION AD - TO THANK BRUCE POLIQUIN FOR POLICY POSITION ON LEGISLATION","27-OCT-16","31-OCT-16","31-OCT-16","25325","1","25325"
"P00003392","CLINTON, HILLARY RODHAM / TIMOTHY MICHAEL KAINE","P","US","00","C30002406","WEST VIRGINIA CHAMBER OF COMMERCE","201604269015357879","STRATEGIC MEDIA SERVICES INC.","1911 N. FORT MYER DRIVE","ARLINGTON","VA","ADVERTISING - TV - LAWLESS","22-APR-16","26-APR-16","26-APR-16","169414","1","169414"
"","","","","","C30002661","WEST VIRGINIANS FOR FAIR COURTS","201701099041007784","IMAGE ASSOCIATES","700 VIRGINIA STREET E","CHARLESTON","WV","RADIO ADS 11/1","01-NOV-16","01-NOV-16","01-NOV-16","30000","1","30000"
"","","","","","C30002661","WEST VIRGINIANS FOR FAIR COURTS","201611309037584293","IMAGE ASSOCIATES","700 VIRGINIA STREET EAST","CHARLESTON","WV","PLACEMENT FEE FOR RADIO ADS","24-OCT-16","25-OCT-16","25-OCT-16","80000","1","80000"
